Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Chopera,40.39489315,-3.69970511346301,Pipolandia,40.39915466308594,-3.700248956680298,Daycare
Legazpi,40.3911717,-3.6951902,Centro Infantil Casita Maravillas,40.39076666221554,-3.6906981468200684,Daycare
Palos de Moguer,40.40392685,-3.69556132795742,Xplora 3D,40.40661634455986,-3.6948264070026453,Dentist's Office
San Isidro,40.39777,-3.71855,Primera ópticos,40.3994458,-3.7160221,Daycare
Cortes,40.4143476,-3.69852518277385,Erase Una Vez,40.41134530393576,-3.6948957680172216,Daycare
Palacio,40.41512925,-3.71561799839909,Guardería Cuatro Pecas,40.4122081465651,-3.7175075699415063,Daycare
Sol,40.4178272,-3.70222208991507,Ancara Perinatal,40.41579960665738,-3.70613694190979,Daycare
Universidad,40.4252644,-3.70660596905568,Escuela Infantil Comendadoras de Santiago,40.427299851585786,-3.709191120150623,Daycare
Trafalgar,40.4332491,-3.70124589579836,escuela infantil olavide,40.43582579198838,-3.702263832092285,Daycare
Trafalgar,40.4332491,-3.70124589579836,Craft and Class,40.433602,-3.69977,Daycare
Quintana,40.4331142,-3.6481458,Escuela Infantil Lázaro,40.428935679810714,-3.6500145757605393,Daycare
Fuentelarreina,40.48268005,-3.73173523044305,Guarderia El Bebe,40.4799947,-3.7312038,Daycare
Campamento,40.3946832,-3.7682788,"Guarderia ""Las Portuguesas""",40.39813429572919,-3.769608082252299,Daycare
Las Aguilas,40.3814589,-3.7803772,Centro De Educacion Infantil Adela Abrines - Caja Madrid,40.3802386878309,-3.779234619102222,Daycare
Lucero,40.4048009,-3.7452693,Escuela Infantil El Manantial,40.40274507454525,-3.741520643234253,Daycare
Aravaca,40.457749,-3.7827941,El Jardín Mágico,40.459824,-3.7806065,Daycare
Aravaca,40.457749,-3.7827941,Alaria Escuelas Infantiles - Guarderia En Moncloa-Aravaca,40.460144,-3.782141,Daycare
Horcajo,40.4081864,-3.6267762,Guardería Arrullo,40.406455399223745,-3.6252359721129457,Daycare
Media Legua,40.4120952,-3.65700533611857,Guardería Chiqui Tin Moratalaz,40.409716096902564,-3.653978810012599,Daycare
Numancia,40.3987461,-3.65811860761511,Es Cool,40.39705,-3.662522,Daycare
Palomeras Bajas,40.3851802,-3.65848709930719,Guarderia Rechuflas,40.381232,-3.657522,Daycare
Fuente del Berro,40.42513105,-3.66423759698396,Mi Primer Cole 2,40.426968,-3.6639137,Daycare
Canillejas,40.4491131,-3.6085862,AEM Actividades Extraescolares Madrid,40.4453707,-3.6097021,Daycare
Almenara,40.4711927,-3.69208516102331,Montessori Baby House,40.470078,-3.693762,Nursery School
Bellas Vistas,40.45226305,-3.70744452722191,Escuela Infantil Agua Dulce,40.45387057037923,-3.7093366008365285,Daycare
Berruguete,40.4588005,-3.7048308,los peques,40.459150045481266,-3.708095908793296,Daycare
Berruguete,40.4588005,-3.7048308,Chiquikid,40.458107304123516,-3.702692985534668,Daycare
Castillejos,40.4558722,-3.7079658,los peques,40.459150045481266,-3.708095908793296,Daycare
Castillejos,40.4558722,-3.7079658,Escuela Infantil Agua Dulce,40.45387057037923,-3.7093366008365285,Daycare
Almendrales,40.3836929,-3.69909586882439,Escuela Infantil La Jara,40.384197,-3.7015243,Daycare
Moscardo,40.3900156,-3.70542433597773,Guardería Pensamiento,40.389538,-3.7052326,Daycare
Moscardo,40.3900156,-3.70542433597773,El planeta de ilusion,40.385738,-3.704497,Daycare
