Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Acacias,40.4040749,-3.7059572,Cercanías Pirámides,40.40248604940046,-3.711201883844389,Train Station
Acacias,40.4040749,-3.7059572,Cercanías Embajadores,40.40478042209165,-3.7025563524448035,Train Station
Atocha,40.40068665,-3.68239115386921,Via 2,40.40324684514133,-3.6865434041212897,Platform
Atocha,40.40068665,-3.68239115386921,Anden 10,40.40183949924626,-3.6837447296026142,Platform
Atocha,40.40068665,-3.68239115386921,C2 Atocha-Azuqueca de Henares,40.39858366296209,-3.6845075387998114,Train
Atocha,40.40068665,-3.68239115386921,Civia Madrid-Aranjuez,40.3996706288824,-3.67908391831666,Train
Atocha,40.40068665,-3.68239115386921,Tren Madrid - Albacete,40.40273220512434,-3.684205385727902,Train
Atocha,40.40068665,-3.68239115386921,Talgo,40.403949982564505,-3.6858350523845917,Train
Atocha,40.40068665,-3.68239115386921,Alaris Madrid-Valencia,40.40266156196594,-3.684966,Train Station
Delicias,40.39729215,-3.68949484969473,Cercanías Delicias,40.40012467567514,-3.6920543499194944,Train Station
Delicias,40.39729215,-3.68949484969473,Linea C10,40.399504,-3.691778,Train
Delicias,40.39729215,-3.68949484969473,C2 Atocha-Azuqueca de Henares,40.39858366296209,-3.6845075387998114,Train
Delicias,40.39729215,-3.68949484969473,Tren de la Fresa,40.398244179015755,-3.690095219465332,Train
Delicias,40.39729215,-3.68949484969473,12 octubre,40.39564514160156,-3.685230255126953,Platform
Delicias,40.39729215,-3.68949484969473,Via 1 Piramides,40.39757742659333,-3.689104450901796,Platform
Delicias,40.39729215,-3.68949484969473,C-1 Chamartin-Aeropuerto T4,40.39837533762541,-3.6884010170065817,Train
Palos de Moguer,40.40392685,-3.69556132795742,Andén 15 Estación de Madrid-Puerta de Atocha,40.40491472738958,-3.690174481789055,Platform
Palos de Moguer,40.40392685,-3.69556132795742,Via 13,40.40525305847318,-3.690342914639485,Platform
Palos de Moguer,40.40392685,-3.69556132795742,AVE Madrid-Alicante,40.40592915292434,-3.6904320851991916,Train
Palos de Moguer,40.40392685,-3.69556132795742,Ave Madrid-Joaquin Sorolla,40.404609296575835,-3.690298329418597,Train
Palos de Moguer,40.40392685,-3.69556132795742,2111,40.4066276550293,-3.691225051879883,Train
Palos de Moguer,40.40392685,-3.69556132795742,Avant Madrid-Puertollano,40.40606,-3.690708,Train
Palos de Moguer,40.40392685,-3.69556132795742,Alvia 05490 Madrid - Castellón,40.40521463613824,-3.6903874998996833,Train
Palos de Moguer,40.40392685,-3.69556132795742,Via 14,40.40545843436099,-3.6903924538199093,Platform
Palos de Moguer,40.40392685,-3.69556132795742,AV City 2260 Madrid - Sevilla,40.405388615883574,-3.6907689531771344,Train
Palos de Moguer,40.40392685,-3.69556132795742,Intercity 02294,40.405784606933594,-3.6901965141296387,Train
Timon,40.4735686,-3.5821732,C-1 Cercanías Aeropuerto T4-Chamartin,40.47052453228079,-3.5807378445886857,Train
Cortes,40.4143476,-3.69852518277385,Cercanías Sol,40.41694264946852,-3.7030062744743986,Train Station
Cortes,40.4143476,-3.69852518277385,Metro Antón Martín,40.41192762537371,-3.6980581283569336,Metro Station
Cortes,40.4143476,-3.69852518277385,Intercambiador de Sol,40.41693193080081,-3.7030229001260166,Train Station
Cortes,40.4143476,-3.69852518277385,22.25 Madrid-Lisboa,40.41272355397237,-3.6937760946919647,Train
Cortes,40.4143476,-3.69852518277385,Vía 1 Cercanías Sol,40.416939,-3.702998,Platform
Cortes,40.4143476,-3.69852518277385,Ave Madrid puertollano,40.41596683798434,-3.6944468379843403,Train
Cortes,40.4143476,-3.69852518277385,Plataforma A13,40.418453,-3.7004895,Platform
Cortes,40.4143476,-3.69852518277385,Metro Madrid Línea 1,40.411555847534444,-3.697353191046533,Train
Embajadores,40.40968055,-3.70164442641322,Metro Antón Martín,40.41192762537371,-3.6980581283569336,Metro Station
Embajadores,40.40968055,-3.70164442641322,Metro Madrid Línea 1,40.411555847534444,-3.697353191046533,Train
Justicia,40.4239569,-3.69574732085505,Cercanías Recoletos,40.423328097639214,-3.6909449326533026,Train Station
Justicia,40.4239569,-3.69574732085505,Estacion de Atocha,40.42622058080788,-3.6978288350976216,Train Station
Justicia,40.4239569,-3.69574732085505,Via 1 Recoletos,40.42063555042528,-3.69252268448756,Train Station
Justicia,40.4239569,-3.69574732085505,Via 2 Recoletos,40.42324863844765,-3.691159766896339,Train Station
Sol,40.4178272,-3.70222208991507,Cercanías Sol,40.41694264946852,-3.7030062744743986,Train Station
Sol,40.4178272,-3.70222208991507,Intercambiador de Sol,40.41693193080081,-3.7030229001260166,Train Station
Sol,40.4178272,-3.70222208991507,Tren AVANT 08109,40.422035217285156,-3.70160174369812,Train
Sol,40.4178272,-3.70222208991507,AVE 03113 Madrid-Figueres,40.42047617750982,-3.7039035991518574,Train
Sol,40.4178272,-3.70222208991507,Vía 1 Cercanías Sol,40.416939,-3.702998,Platform
Sol,40.4178272,-3.70222208991507,Plataforma A13,40.418453,-3.7004895,Platform
Sol,40.4178272,-3.70222208991507,Intercity Madrid-Albacete-Valencia,40.42218017578125,-3.7031524181365967,Train
Sol,40.4178272,-3.70222208991507,Estación Ciudad Real,40.420357,-3.7039018,Train Station
Universidad,40.4252644,-3.70660596905568,Ave Puertollano- Madrid,40.425262072159725,-3.7071493877431902,Train
Universidad,40.4252644,-3.70660596905568,The Passanger,40.42434127522619,-3.707121312618255,Train
Universidad,40.4252644,-3.70660596905568,Intercity Madrid-Albacete-Valencia,40.42218017578125,-3.7031524181365967,Train
Universidad,40.4252644,-3.70660596905568,Piramides,40.42179230313567,-3.710177326209737,Train
