District;Neighborhood;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
01. Centro;01. Centro;;;;;;;;;;;;;;;;;;
01. Centro;     01. Centro;2.305;2.983;3.418;3.870;4.289;4.603;4.728;4.376;4.161;4.049;3.823;3.424;3.354;3.285;3.568;3.779;4.599;4.975
01. Centro;     011. Palacio;2.610;3.279;3.605;4.128;4.503;4.555;4.807;4.544;4.239;4.113;3.850;3.519;3.397;3.369;3.682;3.731;4.474;4.873
01. Centro;     012. Embajadores;2.107;2.715;3.022;3.401;3.852;4.252;4.394;3.782;3.601;3.489;3.215;2.721;2.897;2.697;3.000;3.240;4.017;4.239
01. Centro;     013. Cortes;2.611;3.070;3.683;4.107;4.610;4.858;4.922;4.401;4.101;4.272;4.043;3.715;3.358;3.541;3.714;3.616;4.842;5.106
01. Centro;     014. Justicia;2.496;3.103;3.736;4.151;4.396;4.967;5.027;4.992;4.915;4.653;4.539;4.007;3.969;3.902;4.326;4.612;5.252;5.989
01. Centro;     015. Universidad;2.317;2.870;3.352;3.857;4.337;4.602;4.747;4.263;4.006;3.953;3.604;3.230;3.297;3.199;3.476;3.845;4.639;5.068
01. Centro;     016. Sol;2.450;3.108;3.502;4.029;4.591;4.627;4.876;4.465;4.091;4.183;3.921;3.517;3.445;3.419;3.716;3.788;5.027;5.263
02. Arganzuela;02. Arganzuela;;;;;;;;;;;;;;;;;;
02. Arganzuela;     02. Arganzuela;2.168;2.841;3.363;3.637;3.929;4.257;4.164;3.797;3.590;3.503;3.276;2.876;2.797;2.653;2.746;3.013;3.529;3.919
02. Arganzuela;     021. Imperial;2.264;2.934;3.591;3.507;3.711;4.254;4.240;3.723;3.541;3.352;3.104;2.816;2.752;2.731;2.697;2.920;3.382;3.896
02. Arganzuela;     022. Acacias;2.237;2.993;3.506;3.793;4.178;4.453;4.309;3.940;3.743;3.588;3.365;2.957;2.918;2.804;2.966;3.193;3.724;4.046
02. Arganzuela;     023. Chopera;1.939;2.576;3.222;3.434;3.680;3.972;3.942;3.503;3.316;3.123;2.894;2.379;2.267;2.190;2.355;2.649;3.340;3.727
02. Arganzuela;     024. Legazpi;2.313;2.714;3.320;3.714;4.083;4.251;4.261;3.916;3.988;4.010;3.847;3.428;3.428;3.307;3.349;3.395;-;4.263
02. Arganzuela;     025. Delicias;2.254;3.008;3.279;3.751;3.882;4.295;4.138;3.820;3.497;3.375;3.206;2.825;2.710;2.564;2.592;3.025;3.566;3.777
02. Arganzuela;     026. Palos de Moguer;-;2.783;3.297;3.497;3.945;4.246;4.083;3.809;3.477;3.595;3.241;2.831;2.800;2.529;2.725;2.976;3.565;3.948
02. Arganzuela;     027. Atocha;2.312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03. Retiro;03. Retiro;;;;;;;;;;;;;;;;;;
03. Retiro;     03. Retiro;2.678;3.257;3.848;4.089;4.343;4.702;4.708;4.504;4.429;4.413;4.231;3.701;3.322;3.274;3.510;3.734;4.353;4.791
